term,E,P,A,E2,P2,A2
abandon,-3.31,-0.08,-0.11,-3.31,-0.08,-0.11
abduct,-3.81,1.98,1.35,-3.81,1.98,1.35
abet,0.03,0.34,-0.18,0.03,0.34,-0.18
abhor,-2.13,0.90,0.62,-2.13,0.90,0.62
abort,-1.85,1.33,-0.21,-1.85,1.33,-0.21
abuse,-3.85,0.61,1.51,-3.85,0.61,1.51
accept,2.67,2.40,-0.29,2.67,2.40,-0.29
acclaim,1.53,1.27,1.07,1.53,1.27,1.07
accommodate,2.55,1.67,0.41,2.55,1.67,0.41
accost,-1.34,0.89,1.40,-1.34,0.89,1.40
accuse,-1.73,1.08,1.40,-1.73,1.08,1.40
acknowledge,2.65,1.97,0.42,2.65,1.97,0.42
address,1.40,1.31,0.43,1.40,1.31,0.43
admire,2.19,1.38,-0.31,2.19,1.38,-0.31
admit,0.92,1.16,0.18,0.92,1.16,0.18
admonish,-0.38,0.58,0.53,-0.38,0.58,0.53
adopt,3.12,2.88,0.15,3.12,2.88,0.15
adore,2.56,1.54,0.11,2.56,1.54,0.11
advise,2.57,2.28,0.28,2.57,2.28,0.28
aggravate,-2.33,0.52,1.91,-2.33,0.52,1.91
agitate,-2.11,0.49,1.55,-2.11,0.49,1.55
agree_with,1.77,1.18,0.13,1.77,1.18,0.13
aid,3.15,2.62,0.43,3.15,2.62,0.43
alarm,-0.36,1.43,2.22,-0.36,1.43,2.22
alert,2.20,2.00,2.02,2.20,2.00,2.02
alienate,-2.79,1.01,-0.63,-2.79,1.01,-0.63
allow,1.19,1.41,-0.04,1.19,1.41,-0.04
amaze,2.59,2.71,1.62,2.59,2.71,1.62
amuse,2.51,2.01,1.79,2.51,2.01,1.79
analyze,0.53,1.12,-0.64,0.53,1.12,-0.64
anger,-2.22,0.96,1.65,-2.22,0.96,1.65
annihilate,-2.92,2.17,1.91,-2.92,2.17,1.91
annoy,-1.95,0.51,1.63,-1.95,0.51,1.63
answer,1.84,1.16,0.36,1.84,1.16,0.36
antagonize,-2.80,0.77,1.55,-2.80,0.77,1.55
apologize_to,2.70,2.35,-0.92,2.70,2.35,-0.92
appeal_to,1.95,1.79,0.05,1.95,1.79,0.05
appease,0.61,0.23,-0.36,0.61,0.23,-0.36
applaud,2.97,2.40,2.50,2.97,2.40,2.50
appoint,1.70,2.32,0.31,1.70,2.32,0.31
appreciate,3.38,2.62,-0.16,3.38,2.62,-0.16
apprehend,0.16,1.90,1.66,0.16,1.90,1.66
approach,1.51,1.44,0.60,1.51,1.44,0.60
approve_of,2.12,1.93,-0.24,2.12,1.93,-0.24
argue_with,-1.57,1.18,2.22,-1.57,1.18,2.22
arm,-0.65,2.12,1.27,-0.65,2.12,1.27
arouse,1.92,1.99,0.82,1.92,1.99,0.82
arrest,-0.07,2.36,1.92,-0.07,2.36,1.92
ask,1.87,1.27,0.05,1.87,1.27,0.05
ask_about,1.62,0.87,0.06,1.62,0.87,0.06
