term,E,P,A,E2,P2,A2
Air_Force_enlistee,2.06,1.56,0.86,2.06,1.56,0.86
Air_Force_officer,2.07,2.42,1.6,2.07,2.42,1.6
Air_Force_reservist,1.93,1.61,0.68,1.93,1.61,0.68
American,1.41,1.81,1.77,1.41,1.81,1.77
Arab,0.31,0.45,0.16,0.31,0.45,0.16
Army_enlistee,2.39,1.64,1.3,2.39,1.64,1.3
Army_officer,1.28,2.36,1.64,1.28,2.36,1.64
Army_reservist,1.74,1.18,0.62,1.74,1.18,0.62
Asian,1.41,0.39,-0.34,1.41,0.39,-0.34
Asian_American,1.15,0.8,-0.06,1.15,0.8,-0.06
Asian_man,0.82,0.2,-0.35,0.82,0.2,-0.35
Asian_woman,1.25,0.32,-0.27,1.25,0.32,-0.27
Australian,1.03,0.32,0.62,1.03,0.32,0.62
Austrian,0.57,0.28,0.31,0.57,0.28,0.31
Black,0.86,0.7,0.98,0.86,0.7,0.98
Buddhist,1.45,0.61,-1.88,1.45,0.61,-1.88
CEO,0.71,3.22,1.48,0.71,3.22,1.48
CPA,0.88,1.48,-0.5,0.88,1.48,-0.5
Catholic,0.55,0.49,-0.21,0.55,0.49,-0.21
Chinese,1.17,0.41,0.13,1.17,0.41,0.13
Christian,1.5,1.44,0.65,1.5,1.44,0.65
Christian_missionary,1.72,1.67,0.43,1.72,1.67,0.43
German,0.58,0.68,0.62,0.58,0.68,0.62
God,3.19,3.45,-0.46,3.19,3.45,-0.46
Hindu,0.76,0.14,-0.66,0.76,0.14,-0.66
Hispanic_American,1.15,-0.02,0.31,1.15,-0.02,0.31
Hispanic_man,0.57,-0.07,0.57,0.57,-0.07,0.57
Hispanic_woman,1.11,0.05,0.92,1.11,0.05,0.92
Imam,0.17,1.2,-0.14,0.17,1.2,-0.14
Jew,1.21,0.53,0.14,1.21,0.53,0.14
Marine_Corps_enlistee,1.77,1.42,1.17,1.77,1.42,1.17
Marine_Corps_officer,1.99,2.58,1.82,1.99,2.58,1.82
Marine_Corps_reservist,1.56,1.67,0.68,1.56,1.67,0.68
Methodist,1.17,0.43,-0.1,1.17,0.43,-0.1
Mormon,0.15,-0.28,-0.59,0.15,-0.28,-0.59
Muslim,0.67,0.24,-0.11,0.67,0.24,-0.11
Navy_enlistee,1.66,1.03,1.06,1.66,1.03,1.06
Navy_officer,1.84,2.44,1.1,1.84,2.44,1.1
Navy_reservist,1.86,1.5,0.43,1.86,1.5,0.43
Pentecostal,0.47,0.18,0.53,0.47,0.18,0.53
Protestant,1.01,0.61,0.43,1.01,0.61,0.43
Turk,0.43,0.28,0.24,0.43,0.28,0.24
abortionist,-0.69,1,-0.21,-0.69,1,-0.21
academic,2.34,2.26,-0.12,2.34,2.26,-0.12
accomplice,-0.14,0.22,0.23,-0.14,0.22,0.23
accountant,1.03,1.16,-0.48,1.03,1.16,-0.48
accounting_clerk,1.06,0.46,-0.87,1.06,0.46,-0.87
accused,-1.46,-1.38,-0.09,-1.46,-1.38,-0.09
acquaintance,1.11,0.02,-0.16,1.11,0.02,-0.16
actor,0.82,1.36,1.68,0.82,1.36,1.68
addict,-2.23,-2.36,0.19,-2.23,-2.36,0.19
adolescent,0.66,-0.81,2.17,0.66,-0.81,2.17
adopted_child,1.97,-0.1,0.18,1.97,-0.1,0.18
adopted_daughter,2.01,0.36,0.15,2.01,0.36,0.15
adopted_son,1.65,0.41,0.28,1.65,0.41,0.28
adult,1.06,1.81,0.29,1.06,1.81,0.29
adulterer,-2.98,-0.15,0.21,-2.98,-0.15,0.21
adulteress,-2.43,0.45,0.96,-2.43,0.45,0.96
advertising_copy_writer,0.65,0.55,0.66,0.65,0.55,0.66
advertising_executive,0.13,2.13,1.51,0.13,2.13,1.51
agnostic,0.22,-0.08,-0.28,0.22,-0.08,-0.28
aide,2,1.41,0.21,2,1.41,0.21
airline_pilot,1.66,2.41,0.33,1.66,2.41,0.33
alcoholic,-2.29,-1.83,1.13,-2.29,-1.83,1.13
ally,2.34,2.15,-0.16,2.34,2.15,-0.16
alumnus,1.53,1.39,0.32,1.53,1.39,0.32
ambassador,1.46,2.28,0.31,1.46,2.28,0.31
anesthetist,1.52,1.85,-0.89,1.52,1.85,-0.89
angel,3.28,2.77,-0.86,3.28,2.77,-0.86
anti_Semite,-2.81,-0.36,1.35,-2.81,-0.36,1.35
applicant,1.12,-0.63,-0.06,1.12,-0.63,-0.06
apprentice,1.46,-0.29,0.03,1.46,-0.29,0.03
architect,1.52,1.7,-0.28,1.52,1.7,-0.28
army_chaplain,2.16,1.59,0.23,2.16,1.59,0.23
army_general,1.81,3.34,2.32,1.81,3.34,2.32
arsonist,-3.31,1.55,0.69,-3.31,1.55,0.69
artist,1.74,0.92,-0.33,1.74,0.92,-0.33
ass,-1.48,0.29,1.38,-1.48,0.29,1.38
assailant,-2.29,1.39,0.78,-2.29,1.39,0.78
assassin,-2.62,2.71,-0.77,-2.62,2.71,-0.77
assembly_line_worker,0.77,-1.02,0.76,0.77,-1.02,0.76
assistant,1.51,-0.1,0.05,1.51,-0.1,0.05
astrologer,0.95,0.42,-0.63,0.95,0.42,-0.63
astronaut,2.33,2.13,0.76,2.33,2.13,0.76
atheist,-0.19,-0.29,0.04,-0.19,-0.29,0.04
athlete,1.81,2.5,2.45,1.81,2.5,2.45
attorney,1.21,2.46,1.51,1.21,2.46,1.51
attorney_general,0.94,2.54,0.73,0.94,2.54,0.73
auctioneer,0.76,1.19,3.03,0.76,1.19,3.03
auditor,-0.33,1.54,-0.61,-0.33,1.54,-0.61
auditor_general,0.14,1.55,0.1,0.14,1.55,0.1
aunt,1.95,0.62,0.7,1.95,0.62,0.7
author,1.45,1.88,-1.13,1.45,1.88,-1.13
authority,0.7,2.99,0.85,0.7,2.99,0.85
autistic_person,0.9,-0.86,-0.25,0.9,-0.86,-0.25
auto_mechanic,1.15,0.58,0.55,1.15,0.58,0.55
automobile_assembler,1.19,0.55,1.06,1.19,0.55,1.06
baby,2.5,-2.55,1.58,2.5,-2.55,1.58
