term,E,P,A,E2,P2,A2
abandoned,-3.25,-0.59,-1.23,-3.25,-0.59,-1.23
able_bodied,2.98,2.76,1.57,2.98,2.76,1.57
absentminded,-1.6,-1.68,-1.49,-1.6,-1.68,-1.49
abusive,-3.69,1.17,1.86,-3.69,1.17,1.86
abusive_physically,-3.76,0.43,2.04,-3.76,0.43,2.04
abusive_verbally,-3.26,1.2,2.2,-3.26,1.2,2.2
accommodating,2.4,1.38,-0.38,2.4,1.38,-0.38
acquiescent,0.61,-0.37,-1,0.61,-0.37,-1
active,2.86,2.37,2.65,2.86,2.37,2.65
adaptive,2.84,2.71,0.54,2.84,2.71,0.54
adventurous,2.45,2.2,2.12,2.45,2.2,2.12
affable,1.32,0.9,0.55,1.32,0.9,0.55
affected,-0.07,0.66,0.14,-0.07,0.66,0.14
affectionate,2.58,1.87,-0.93,2.58,1.87,-0.93
afraid,-1.97,-1.13,-0.61,-1.97,-1.13,-0.61
aggravated,-2.42,-0.31,0.88,-2.42,-0.31,0.88
aggressive,-0.83,1.46,2.2,-0.83,1.46,2.2
aggrieved,-1.46,-0.36,-0.44,-1.46,-0.36,-0.44
agitated,-1.97,-0.78,1.1,-1.97,-0.78,1.1
agonized,-2.75,-0.89,-0.13,-2.75,-0.89,-0.13
agreeable,1.99,1.09,-0.54,1.99,1.09,-0.54
aimless,-1.51,-1.94,-1.44,-1.51,-1.94,-1.44
alarmed,-1.37,0.21,1.53,-1.37,0.21,1.53
alert,2.32,1.9,0.84,2.32,1.9,0.84
aloof,-0.8,-1.14,-1.25,-0.8,-1.14,-1.25
ambitious,2.59,2.44,1.36,2.59,2.44,1.36
amorous,1.85,1.46,0.51,1.85,1.46,0.51
amused,2.52,1.44,0.92,2.52,1.44,0.92
amusing,2.38,1.75,1.78,2.38,1.75,1.78
angry,-1.77,0.57,1.8,-1.77,0.57,1.8
anguished,-1.97,-0.68,-0.8,-1.97,-0.68,-0.8
annoyed,-2.08,-0.57,0.53,-2.08,-0.57,0.53
annoying,-2.15,0.23,1.94,-2.15,0.23,1.94
antisocial,-1.64,-1.65,-2.34,-1.64,-1.65,-2.34
anxious,-1.69,-1.08,0.58,-1.69,-1.08,0.58
apathetic,-1.2,-0.8,-1.79,-1.2,-0.8,-1.79
appalled,-1.22,-0.18,0.41,-1.22,-0.18,0.41
appreciative,3.21,2.41,0.08,3.21,2.41,0.08
apprehensive,-1.45,-0.46,-0.63,-1.45,-0.46,-0.63
aroused,2.16,1.66,1.05,2.16,1.66,1.05
arrogant,-2.38,-0.4,1.79,-2.38,-0.4,1.79
artistic,2.48,1.56,0.73,2.48,1.56,0.73
artistical,2.4,1.4,-0.72,2.4,1.4,-0.72
ashamed,-2.36,-0.41,-1.73,-2.36,-0.41,-1.73
assertive,1.31,2.36,1.88,1.31,2.36,1.88
astonished,0.85,0.66,0.96,0.85,0.66,0.96
at_ease,2.84,1.99,-2.1,2.84,1.99,-2.1
attentive,2.8,2.04,-0.74,2.8,2.04,-0.74
attractive,2.36,2.26,0.69,2.36,2.26,0.69
audacious,0.48,1.24,1.75,0.48,1.24,1.75
authoritarian,-0.45,2.02,1.24,-0.45,2.02,1.24
autonomous,0.92,1.59,0.17,0.92,1.59,0.17
average,-0.61,-1.2,-0.77,-0.61,-1.2,-0.77
awe_struck,1.4,0.88,0.22,1.4,0.88,0.22
awkward,-0.63,-0.93,-1.02,-0.63,-0.93,-1.02
bad,-3.04,0.7,1.04,-3.04,0.7,1.04
bad_tempered,-2.78,-0.47,2,-2.78,-0.47,2
beautiful,2.41,2.35,0.45,2.41,2.35,0.45
belligerent,-2.29,-0.41,2,-2.29,-0.41,2
benevolent,2.35,1.82,-0.25,2.35,1.82,-0.25
betrayed,-3.49,0.82,0.01,-3.49,0.82,0.01
big,0.56,2.07,0.15,0.56,2.07,0.15
bitchy,-2.78,0.04,2.52,-2.78,0.04,2.52
bitter,-2.33,-0.93,-0.6,-2.33,-0.93,-0.6
black,0.77,0.32,0.97,0.77,0.32,0.97
blue,-2.18,-1.39,-1.94,-2.18,-1.39,-1.94
bold,2.15,2.53,1.93,2.15,2.53,1.93
bored,-1.85,-0.86,-2.01,-1.85,-0.86,-2.01
boring,-1.68,-1.79,-2.45,-1.68,-1.79,-2.45
bossy,-1.38,1.11,1.96,-1.38,1.11,1.96
brave,3.09,3.08,1.36,3.09,3.08,1.36
bright,2.79,2.7,1.21,2.79,2.7,1.21
broad_minded,2.33,2.06,0.09,2.33,2.06,0.09
broken_hearted,-2.97,-0.36,-1.47,-2.97,-0.36,-1.47
bullheaded,-1.36,0.35,1.18,-1.36,0.35,1.18
calm,2.88,1.93,-2.32,2.88,1.93,-2.32
candid,1.42,1.25,0.8,1.42,1.25,0.8
cantankerous,-1.3,-0.15,1.19,-1.3,-0.15,1.19
captivated,1.67,1.22,0.62,1.67,1.22,0.62
carefree,1.58,0.93,-0.13,1.58,0.93,-0.13
careful,1.91,1.26,-1.42,1.91,1.26,-1.42
careless,-2.4,-0.97,0.66,-2.4,-0.97,0.66
caring,3.24,2.75,-0.6,3.24,2.75,-0.6
cautious,2.02,0.94,-1.48,2.02,0.94,-1.48
charmed,1.73,1.32,0.2,1.73,1.32,0.2
charming,2.32,2.2,0.48,2.32,2.2,0.48
cheerful,3.07,2.18,1.58,3.07,2.18,1.58
cheerless,-2.29,-1.25,-2.42,-2.29,-1.25,-2.42
childish,-1.12,-1.24,2.18,-1.12,-1.24,2.18
clean_cut,2.01,1.39,-0.27,2.01,1.39,-0.27
clever,2.29,2.37,0.66,2.29,2.37,0.66
clumsy,-1.04,-1.19,1.07,-1.04,-1.19,1.07
cocky,-1.94,-0.32,1.79,-1.94,-0.32,1.79
cold,-1.81,-0.7,-1.74,-1.81,-0.7,-1.74
communicative,2.63,2.54,1.06,2.63,2.54,1.06
compassionate,3.13,2.46,0.18,3.13,2.46,0.18
competent,2.81,2.74,0.43,2.81,2.74,0.43
competitive,1.43,1.66,2.04,1.43,1.66,2.04
composed,2.58,2.17,-1.43,2.58,2.17,-1.43
compulsive,-0.65,-0.21,1.81,-0.65,-0.21,1.81
conceited,-2.48,-0.36,1.05,-2.48,-0.36,1.05
confident,2.92,3.03,0.88,2.92,3.03,0.88
confused,-1.66,-1.43,-0.58,-1.66,-1.43,-0.58
conscientious,2.15,1.58,-0.6,2.15,1.58,-0.6
conservative,0.43,0.79,-0.33,0.43,0.79,-0.33
considerate,3.35,2.49,-0.54,3.35,2.49,-0.54
contemptuous,-1.46,-0.33,0.47,-1.46,-0.33,0.47
contented,2.35,1.7,-0.74,2.35,1.7,-0.74
contrite,0.08,0.21,-0.52,0.08,0.21,-0.52
conventional,0.51,-0.09,-0.78,0.51,-0.09,-0.78
cool,1.69,1.46,0.61,1.69,1.46,0.61
cooperative,2.44,1.62,-0.5,2.44,1.62,-0.5
courageous,2.93,3.2,1.26,2.93,3.2,1.26
courteous,3.32,2.36,-0.22,3.32,2.36,-0.22
cowardly,-2.27,-2.8,-1.58,-2.27,-2.8,-1.58
coy,0.03,0.06,-1.08,0.03,0.06,-1.08
crafty,2.02,1.71,0.13,2.02,1.71,0.13
crazy,-0.92,0.03,2.03,-0.92,0.03,2.03
creative,2.9,2.28,0.83,2.9,2.28,0.83
credible,3.09,2.95,-0.22,3.09,2.95,-0.22
critical,0.11,1.35,1.04,0.11,1.35,1.04
crude,-2.09,-0.23,1.11,-2.09,-0.23,1.11
cruel,-3.47,0.5,0.55,-3.47,0.5,0.55
crushed,-2.94,-0.52,-1.05,-2.94,-0.52,-1.05
cultivated,1.78,1.6,-0.14,1.78,1.6,-0.14
cunning,0.72,1.77,0.16,0.72,1.77,0.16
curious,2.25,1.71,0.51,2.25,1.71,0.51
cute,2.12,1.26,0.24,2.12,1.26,0.24
cynical,-1.68,-0.35,-0.03,-1.68,-0.35,-0.03
daring,1.24,1.99,2.04,1.24,1.99,2.04
deceitful,-2.82,0.53,-0.34,-2.82,0.53,-0.34
decent,2.71,1.65,-0.57,2.71,1.65,-0.57
decisive,2.62,2.33,1.25,2.62,2.33,1.25
defensive,-0.14,0.25,0.95,-0.14,0.25,0.95
defiant,-0.82,0.96,1.41,-0.82,0.96,1.41
deflated,-2.23,-1.59,-1.73,-2.23,-1.59,-1.73
dejected,-2.44,-0.71,-1.43,-2.44,-0.71,-1.43
delicate,0.79,-0.48,-1.99,0.79,-0.48,-1.99
delighted,3.41,2.65,1.37,3.41,2.65,1.37
demanding,-1.02,0.95,2,-1.02,0.95,2
demure,0.66,0.02,-0.99,0.66,0.02,-0.99
dependable,3.23,2.78,0,3.23,2.78,0
dependent,-1.26,-1.74,-0.98,-1.26,-1.74,-0.98
deprave,-2.25,-0.12,-0.13,-2.25,-0.12,-0.13
depressed,-3.37,-1.98,-2.88,-3.37,-1.98,-2.88
desperate,-2.89,-1.5,-0.57,-2.89,-1.5,-0.57
despondent,-1.85,-1.43,-1.68,-1.85,-1.43,-1.68
determined,2.82,2.83,0.72,2.82,2.83,0.72
